date,year,month,day,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,PM2.5 AQI,Air Quality
2015-01-01,2015.0,1.0,1.0,32.541666666666664,42.833333333333336,16.666666666666668,20.208333333333332,608.3333333333334,44.416666666666664,-2.0,1020.7083333333334,-23.09583333333333,0.0,1.6583333333333332,Dingling,93.98891273247497,Moderate
2015-01-02,2015.0,1.0,2.0,49.75,71.25,29.375,27.958333333333332,854.1666666666666,42.625,0.25,1018.5416666666666,-18.6375,0.0,1.6791666666666665,Dingling,136.08793969849245,Unhealthy for Sensitive Groups
2015-01-03,2015.0,1.0,3.0,159.58333333333334,161.375,45.541666666666664,73.83333333333333,2375.0,8.333333333333334,-2.375,1007.875,-16.545833333333334,0.0,1.2,Dingling,210.0015015015015,Very Unhealthy
2015-01-04,2015.0,1.0,4.0,152.83333333333334,160.25,62.875,85.83333333333333,2641.6666666666665,10.041666666666666,0.5,1006.8333333333334,-14.033333333333333,0.0,1.2041666666666666,Dingling,203.31231231231232,Very Unhealthy
2015-01-05,2015.0,1.0,5.0,103.45833333333333,136.875,37.0,45.25,2237.5,41.791666666666664,3.4166666666666665,1010.2083333333334,-14.799999999999999,0.0,2.775,Dingling,175.7624692658939,Unhealthy
2015-01-06,2015.0,1.0,6.0,21.375,28.208333333333332,16.916666666666668,17.791666666666668,616.6666666666666,48.583333333333336,0.20833333333333334,1018.1666666666666,-21.729166666666668,0.0,2.720833333333333,Dingling,70.50536480686696,Moderate
2015-01-07,2015.0,1.0,7.0,45.208333333333336,53.375,28.791666666666668,40.0,1220.8333333333333,23.083333333333332,-2.25,1019.625,-18.5,0.0,1.0625,Dingling,124.90494137353434,Unhealthy for Sensitive Groups
2015-01-08,2015.0,1.0,8.0,109.41666666666667,131.16666666666666,48.916666666666664,83.66666666666667,2533.3333333333335,3.9583333333333335,-2.0833333333333335,1019.375,-15.279166666666667,0.0,1.3291666666666666,Dingling,178.83895328415878,Unhealthy
2015-01-09,2015.0,1.0,9.0,27.75,35.833333333333336,19.916666666666668,20.708333333333332,645.8333333333334,47.75,1.6666666666666667,1018.625,-17.208333333333332,0.0,2.433333333333333,Dingling,83.91201716738198,Moderate
2015-01-10,2015.0,1.0,10.0,33.75,49.916666666666664,22.083333333333332,23.833333333333332,779.1666666666666,44.083333333333336,3.5416666666666665,1012.2083333333334,-15.75,0.0,2.3375,Dingling,96.53004291845494,Moderate
2015-01-11,2015.0,1.0,11.0,39.166666666666664,49.708333333333336,18.625,35.0,1025.0,33.166666666666664,1.6666666666666667,1022.6666666666666,-15.016666666666666,0.0,1.2375,Dingling,110.0284757118928,Unhealthy for Sensitive Groups
2015-01-12,2015.0,1.0,12.0,152.625,154.125,31.833333333333332,72.33333333333333,2416.6666666666665,7.625,-2.3291666666666666,1027.0125,-9.808333333333334,0.0,1.2416666666666667,Dingling,203.10585585585585,Very Unhealthy
2015-01-13,2015.0,1.0,13.0,131.20833333333334,131.20833333333334,35.791666666666664,67.04166666666667,1808.3333333333333,10.833333333333334,-2.1875,1022.8874999999999,-10.104166666666666,0.0,1.1500000000000001,Dingling,190.09070951879173,Unhealthy
2015-01-14,2015.0,1.0,14.0,214.97916666666666,222.22916666666666,45.541666666666664,90.0,2779.1666666666665,8.541666666666666,-1.7958333333333334,1021.125,-8.15,0.0,1.0791666666666668,Dingling,264.8982732732733,Very Unhealthy
2015-01-16,2015.0,1.0,16.0,71.08333333333333,77.83333333333333,6.416666666666667,23.25,975.0,58.166666666666664,-0.375,1020.4166666666666,-15.391666666666666,0.0,4.195833333333334,Dingling,159.04618897084652,Unhealthy
2015-01-17,2015.0,1.0,17.0,46.041666666666664,47.291666666666664,33.166666666666664,43.625,1033.3333333333333,29.041666666666668,-2.4583333333333335,1021.8333333333334,-16.558333333333334,0.0,1.3083333333333333,Dingling,126.95686767169178,Unhealthy for Sensitive Groups
2015-01-18,2015.0,1.0,18.0,67.87083333333334,89.07916666666667,19.900000000000002,33.574999999999996,1204.1666666666667,40.166666666666664,1.2083333333333333,1010.0416666666666,-14.279166666666667,0.0,3.5749999999999997,Dingling,157.3874692658939,Unhealthy
2015-01-19,2015.0,1.0,19.0,42.083333333333336,61.541666666666664,19.416666666666668,39.958333333333336,1008.3333333333334,36.916666666666664,1.125,1015.9583333333334,-14.879166666666668,0.0,1.5125,Dingling,117.21021775544389,Unhealthy for Sensitive Groups
2015-01-20,2015.0,1.0,20.0,80.16666666666667,91.66666666666667,29.416666666666668,53.166666666666664,1404.1666666666667,20.416666666666668,-0.375,1013.3333333333334,-11.549999999999999,0.0,1.3125,Dingling,163.73621355813137,Unhealthy
2015-01-21,2015.0,1.0,21.0,12.458333333333334,15.208333333333334,17.708333333333332,9.270833333333334,379.1666666666667,62.833333333333336,1.625,1018.3333333333334,-14.025,0.0,2.0083333333333333,Dingling,51.75357653791131,Moderate
2015-01-22,2015.0,1.0,22.0,64.875,67.91666666666667,33.916666666666664,51.958333333333336,1395.8333333333333,22.458333333333332,-1.4583333333333333,1015.125,-14.475,0.0,1.2166666666666666,Dingling,155.84062170706005,Unhealthy
2015-01-23,2015.0,1.0,23.0,208.08333333333334,210.29166666666666,63.833333333333336,102.91666666666667,2916.6666666666665,5.625,-1.5,1009.125,-12.15,0.0,1.0666666666666667,Dingling,258.0645645645646,Very Unhealthy
2015-01-24,2015.0,1.0,24.0,102.125,108.375,30.75,58.958333333333336,1862.5,15.375,-0.20833333333333334,1016.3333333333334,-8.345833333333333,0.012500000000000002,1.4375,Dingling,175.07402528977872,Unhealthy
2015-01-25,2015.0,1.0,25.0,145.70833333333334,145.70833333333334,14.666666666666666,60.041666666666664,2050.0,11.0,0.8333333333333334,1015.2916666666666,-3.1999999999999997,0.0,1.05,Dingling,197.57753775904462,Unhealthy
2015-01-26,2015.0,1.0,26.0,72.125,72.625,8.166666666666666,24.5,1025.0,42.75,-0.8333333333333334,1019.7083333333334,-14.920833333333334,0.0,3.141666666666667,Dingling,159.5840358271865,Unhealthy
2015-01-27,2015.0,1.0,27.0,13.958333333333334,15.541666666666666,18.708333333333332,8.625,387.5,54.416666666666664,-3.533333333333333,1026.4333333333334,-21.8,0.0,3.5104166666666665,Dingling,54.90808297567955,Moderate
2015-01-28,2015.0,1.0,28.0,34.875,37.75,21.375,28.916666666666668,900.0,34.333333333333336,-2.6666666666666665,1024.5833333333333,-19.575,0.0,1.425,Dingling,98.89592274678111,Moderate
2015-01-29,2015.0,1.0,29.0,47.416666666666664,50.333333333333336,18.75,28.375,1095.8333333333333,41.375,-0.6666666666666666,1020.2916666666666,-17.416666666666668,0.0,2.4375,Dingling,130.34254606365158,Unhealthy for Sensitive Groups
2015-01-30,2015.0,1.0,30.0,8.291666666666666,14.458333333333334,11.0,5.791666666666667,295.8333333333333,67.20833333333333,-2.1875,1026.4375,-21.45625,0.0,2.658333333333333,Dingling,34.548611111111114,Good
2015-01-31,2015.0,1.0,31.0,12.458333333333334,15.0,21.208333333333332,10.625,666.6666666666666,55.375,-1.5833333333333333,1027.7708333333333,-22.879166666666666,0.0,1.6333333333333335,Dingling,51.75357653791131,Moderate
2015-02-01,2015.0,2.0,1.0,53.625,53.625,45.5,34.166666666666664,2591.6666666666665,22.041666666666668,-2.8333333333333335,1025.8333333333333,-20.3125,0.0,1.2708333333333333,Dingling,145.62939698492463,Unhealthy for Sensitive Groups
2015-02-02,2015.0,2.0,2.0,129.45833333333334,139.20833333333334,52.145833333333336,75.10416666666667,2785.4166666666665,7.208333333333333,-1.8125,1023.0416666666666,-17.064583333333335,0.0,1.1270833333333334,Dingling,189.1871268001405,Unhealthy
2015-02-03,2015.0,2.0,3.0,102.33333333333333,104.125,45.541666666666664,38.541666666666664,1562.5,50.333333333333336,1.5,1021.8333333333334,-13.141666666666666,0.0,2.766666666666667,Dingling,175.18159466104672,Unhealthy
2015-02-04,2015.0,2.0,4.0,8.166666666666666,18.125,7.208333333333333,4.25,225.0,74.0,1.0,1022.6875,-16.370833333333334,0.0,3.7583333333333333,Dingling,34.02777777777778,Good
2015-02-05,2015.0,2.0,5.0,15.125,17.041666666666668,21.083333333333332,7.125,408.3333333333333,73.08333333333333,2.75,1021.5833333333334,-14.308333333333332,0.0,3.3708333333333336,Dingling,57.36158798283262,Moderate
2015-02-06,2015.0,2.0,6.0,24.625,28.875,32.875,13.625,508.3333333333333,63.625,5.083333333333333,1013.25,-14.070833333333333,0.0,2.3125,Dingling,77.34012875536482,Moderate
